index,abs_eigenvalue
1,5.607278051041695
2,2.8125220580891233
3,1.578969863310339
4,1.4379186342479773
5,1.284508027874693
6,1.186660835993806
7,1.0480372714586372
8,0.9993136462291876
9,0.9671360192963175
10,0.9437498155652111
11,0.9291334012360102
12,0.9071748863799781
13,0.8854380712732183
14,0.8755995869392857
15,0.8533336838255781
16,0.8474369737145891
17,0.8345023221364597
18,0.8274804891633589
19,0.8104411469602739
20,0.7980026766881192
21,0.7879508695118481
22,0.7788298573053422
23,0.7740783906648866
24,0.7656499787048463
25,0.7580311974704125
26,0.7476793570953503
27,0.739721792540116
28,0.7234366580389675
29,0.7213327517393402
30,0.7105685535726117
31,0.7049714728358539
32,0.6891367049271
33,0.6819470028782864
34,0.6785534736408101
35,0.6684195205048103
36,0.6653313902963092
37,0.6526994496204092
38,0.6499796616077941
39,0.6413234129548493
40,0.6366710718147174
41,0.6250091115513798
42,0.6226189725863056
43,0.6190510109726337
44,0.6079015962955213
45,0.6069286888447342
46,0.5976632603198204
47,0.5919864378731097
48,0.5823108262829638
49,0.580638979028757
50,0.574858960725382
51,0.5672353112724203
52,0.564293947035421
53,0.5564669678081708
54,0.5537641827287401
55,0.5458914044940204
56,0.5435099959010783
57,0.5380518576020915
58,0.5356187300088483
59,0.5259127002085852
60,0.5218187641218454
61,0.5189743681714017
62,0.5148629001569169
63,0.5055885025263828
64,0.5035034978467319
65,0.49927335286432317
66,0.4933908533963114
67,0.4911135554847186
68,0.4828138283958101
69,0.48122506614968324
70,0.4751825569225243
71,0.47131568734188833
72,0.47040967083641233
73,0.4632580276215956
74,0.4618678775318208
75,0.4544405702033479
76,0.4524752519080025
77,0.45046831220374295
78,0.44807038095341845
79,0.44502917122743113
80,0.43826580690883943
81,0.43716786174982963
82,0.43181992234203415
83,0.4243037177935299
84,0.4168523273171871
85,0.4151742382794483
86,0.4110829195345448
87,0.40901461917192977
88,0.40532168609947894
89,0.4009684478705883
90,0.396391154032544
91,0.39544835108200904
92,0.39116794196709065
93,0.3884709957486864
94,0.3846192710564262
95,0.38331898095295686
96,0.378786405239586
97,0.37546559868699175
98,0.37463339498858705
99,0.36966222961631245
100,0.3673840271993547
101,0.36501039370966587
102,0.3563802456752621
103,0.3537721058558313
104,0.3499953025459314
105,0.3463993124494187
106,0.34599123069380294
107,0.34182382473984985
108,0.3373874291664298
109,0.335760078680188
110,0.33031021377907105
111,0.328999460510391
112,0.3252792735117007
113,0.3220171915739156
114,0.32024853896435346
115,0.31551860977170465
116,0.3118493057758615
117,0.3062231932306946
118,0.3055755579938388
119,0.30256292321365025
120,0.29563140744199884
121,0.29378089206186203
122,0.2915259954891231
123,0.29149587948892075
124,0.2856649018817244
125,0.2843760291117865
126,0.2834360089407075
127,0.2794143394243269
128,0.27766265696542575
129,0.2753019408802692
130,0.2737328123526667
131,0.2694730198450176
132,0.26543216313304324
133,0.2633576550324468
134,0.25827017146549197
135,0.25483418922458045
136,0.2532330956689145
137,0.2480332545674709
138,0.2468429499676738
139,0.24046363279916275
140,0.23923041469202486
141,0.23616230170737065
142,0.23262032532615387
143,0.23171266883141955
144,0.22663200908410913
145,0.2239009054664335
146,0.22309994786431553
147,0.21947237672851425
148,0.21386321226362262
149,0.21334101114845136
150,0.21075403144559798
151,0.20879058358340233
152,0.20584974120239477
153,0.20380505554314662
154,0.20093301622189427
155,0.19999851965824356
156,0.19591434861462065
157,0.19036814194708457
158,0.18778602442583403
159,0.1822480077397674
160,0.18138654264401138
161,0.1802745240404915
162,0.17701956422811743
163,0.1753987179205091
164,0.1726976420848064
165,0.17090905258944553
166,0.16634469402233734
167,0.16365188746442047
168,0.1628480204492242
169,0.1593830398925295
170,0.15605428885540054
171,0.15329217990176297
172,0.15171102529710034
173,0.15123561585156806
174,0.14872671523947226
175,0.14597474772700061
176,0.14331245150969218
177,0.14242014868441186
178,0.14121136788763453
179,0.13833853125038387
180,0.132947613519494
181,0.12949399323930613
182,0.12808471058457332
183,0.12429205503663895
184,0.12190262736321945
185,0.1195148530228321
186,0.11680819040991894
187,0.11177037401720567
188,0.1106799431725015
189,0.10823363091945597
190,0.10466076192826942
191,0.10245812359450715
192,0.09950393218144207
193,0.09743213027894458
194,0.0966273880024658
195,0.09028591053816318
196,0.08830372560546756
197,0.08740519691766026
198,0.08490824521181745
199,0.0818194535328299
200,0.08076067156992743
201,0.07909956335100911
202,0.07874910204415743
203,0.07396527897982588
204,0.07066272478480497
205,0.06934163321429618
206,0.0690679624551771
207,0.06657760548491526
208,0.06355448447095274
209,0.06161436470401522
