tag,split,seed,relations,use_graph,project,shrink_tau,shuffle_graph,global_scale,alpha,scale,s1_pearson,s1_r2,pearson,r2,epochs,wall_s,w_regulatory,w_ppi,w_cofunctional,w_profile
mechanism,1,0,regulatory+ppi+cofunctional+profile,True,True,1.0,False,True,1000.0,0.6451727747917175,0.49952420592308044,0.2610759735107422,0.37143781781196594,0.10531151294708252,311,115.2,0.23095017671585083,0.30086496472358704,0.27588069438934326,0.19230420887470245
mechanism,1,0,regulatory+ppi+cofunctional+profile,True,False,1.0,False,True,1000.0,0.6451727747917175,0.49952420592308044,0.2610759735107422,0.49952420592308044,0.11247962713241577,261,102.0,0.23971432447433472,0.2654586136341095,0.24896226823329926,0.24586473405361176
mechanism,1,0,regulatory+ppi+cofunctional+profile,True,True,0.75,False,True,1000.0,0.456243097782135,0.3961130976676941,0.1559012532234192,0.31272968649864197,0.10624557733535767,301,101.3,0.25571009516716003,0.27610477805137634,0.27228114008903503,0.1959039866924286
mechanism,1,0,regulatory+ppi+cofunctional+profile,True,False,0.75,False,True,1000.0,0.456243097782135,0.3961130976676941,0.1559012532234192,0.3961130976676941,0.15079939365386963,251,94.9,0.24747522175312042,0.25247225165367126,0.24758608639240265,0.2524663805961609
mechanism,1,0,regulatory+ppi+cofunctional+profile,True,True,0.5,False,True,1000.0,0.5999475717544556,0.4765837788581848,0.23389476537704468,0.35601288080215454,0.12189507484436035,251,104.1,0.24627439677715302,0.25124675035476685,0.2512405812740326,0.25123822689056396
mechanism,1,0,regulatory+ppi+cofunctional+profile,True,False,0.5,False,True,1000.0,0.5999475717544556,0.4765837788581848,0.23389476537704468,0.4765838384628296,0.22101277112960815,321,93.8,0.23415401577949524,0.2821814715862274,0.2911783754825592,0.19248612225055695
mechanism,1,0,regulatory+ppi+cofunctional+profile,True,True,0.25,False,True,1000.0,0.816580057144165,0.6334277987480164,0.41820305585861206,0.442217618227005,0.20460176467895508,261,100.1,0.23536360263824463,0.26157131791114807,0.2523925304412842,0.2506726086139679
mechanism,1,0,regulatory+ppi+cofunctional+profile,True,False,0.25,False,True,1000.0,0.816580057144165,0.6334277987480164,0.41820305585861206,0.6334277987480164,0.4048991799354553,261,81.6,0.2379765808582306,0.254909485578537,0.25964656472206116,0.24746733903884888
mechanism,1,0,regulatory+ppi+cofunctional+profile,True,True,0.0,False,True,1000.0,0.9382721781730652,0.7383722066879272,0.5681073665618896,0.7309110760688782,0.5117987394332886,261,100.1,0.23923943936824799,0.26385390758514404,0.2567475140094757,0.2401590645313263
mechanism,1,0,regulatory+ppi+cofunctional+profile,True,False,0.0,False,True,1000.0,0.9382721781730652,0.7383722066879272,0.5681073665618896,0.7383722066879272,0.5681271553039551,261,94.1,0.23969236016273499,0.26384812593460083,0.2564525902271271,0.24000689387321472
