date,zero,persistence,ridge,raw_zero,alpha
2003-01-08,0.0,-0.06656073469587476,0.07738819881871184,0.0,1000.0
2003-02-07,0.0,-0.19563604525965705,-0.026950955216232808,0.0,1000.0
2003-03-11,0.0,0.10308085186940386,0.1281500376230562,0.0,1000.0
2003-04-09,0.0,-0.2445144778706141,-0.016278435769106814,0.0,1000.0
2003-05-09,0.0,-0.3149100946859955,-0.0368312018264787,0.0,1000.0
2003-06-10,0.0,-0.32543671095822524,-0.05144250664759675,0.0,1000.0
2003-07-10,0.0,-0.11027578841782226,0.0853361500228893,0.0,1000.0
2003-08-08,0.0,-0.5890436823715461,-0.20994955985642272,0.0,1000.0
2003-09-09,0.0,-0.2362722278997449,-0.008366889698500746,0.0,1000.0
2003-10-08,0.0,-0.3888537857124086,-0.07714226811184566,0.0,1000.0
2003-11-06,0.0,-0.0769126621112235,0.03862885379279579,0.0,1000.0
2003-12-08,0.0,0.0028268607278113533,0.04572536314784059,0.0,1000.0
2004-01-08,0.0,0.13565761033586665,0.10737826647372695,0.0,1000.0
2004-02-09,0.0,0.04386080216913513,0.03161421710223955,0.0,1000.0
2004-03-10,0.0,-0.010715959069913294,0.04857991393018868,0.0,100.0
2004-04-08,0.0,0.17730778610146003,0.13812583913721532,0.0,100.0
2004-05-10,0.0,-0.08396201606999121,-0.03884411638728258,0.0,100.0
2004-06-09,0.0,0.21070628636828204,0.188778955084431,0.0,1000.0
2004-07-12,0.0,0.20340440717855546,0.16424279039626188,0.0,1000.0
2004-08-10,0.0,0.02384570440659506,0.11258042617170616,0.0,100.0
2004-09-09,0.0,0.17211175291333514,0.2132858773044547,0.0,100.0
2004-10-08,0.0,0.2020493959592744,0.13599061161846115,0.0,1000.0
2004-11-08,0.0,0.2717544194475324,0.18019315283784276,0.0,100.0
2004-12-08,0.0,0.08455964947761341,0.18554082360839397,0.0,100.0
2005-01-07,0.0,-0.1872751659390004,-0.013670180401976761,0.0,100.0
