split,rho,project,r2,pearson,delta_rms
1,1.0,True,0.08675861358642578,0.37143784761428833,1.7743866376207507e-09
1,1.0,False,0.17650914192199707,0.49952420592308044,1.7743866376207507e-09
1,0.75,True,0.05920165777206421,0.3121006190776825,0.03419438377022743
1,0.75,False,0.11041384935379028,0.3632190525531769,0.03419438377022743
1,0.5,True,-0.04261314868927002,0.20784136652946472,0.06838876754045486
1,0.5,False,-0.19191980361938477,0.18748916685581207,0.06838876754045486
1,0.25,True,-0.21868562698364258,0.1078290194272995,0.1025831550359726
1,0.25,False,-0.7304917573928833,0.03116162307560444,0.1025831550359726
1,0.0,True,-1.361025094985962,-0.08124049007892609,0.13677753508090973
1,0.0,False,-1.5053019523620605,-0.07733658701181412,0.13677753508090973
2,1.0,True,0.07032936811447144,0.39073100686073303,1.4596442943215493e-09
2,1.0,False,0.3067227005958557,0.5575173497200012,1.4596442943215493e-09
2,0.75,True,0.041038334369659424,0.3370601236820221,0.035289179533720016
2,0.75,False,0.1472986340522766,0.4411422312259674,0.035289179533720016
2,0.5,True,-0.052298545837402344,0.24468787014484406,0.07057835906744003
2,0.5,False,-0.2952148914337158,0.22054874897003174,0.07057835906744003
2,0.25,True,-0.20968127250671387,0.15264399349689484,0.10586754232645035
2,0.25,False,-1.0208182334899902,0.05500156059861183,0.10586754232645035
2,0.0,True,-1.8835382461547852,-0.049284473061561584,0.14115671813488007
2,0.0,False,-2.029510498046875,-0.04497900232672691,0.14115671813488007
3,1.0,True,0.10660088062286377,0.3750047981739044,1.7451672329471535e-09
3,1.0,False,0.24265974760055542,0.4718060791492462,1.7451672329471535e-09
3,0.75,True,0.06591612100601196,0.3131939768791199,0.03398926183581352
3,0.75,False,0.159079909324646,0.3840266168117523,0.03398926183581352
3,0.5,True,-0.05164384841918945,0.19963042438030243,0.06797852367162704
3,0.5,False,-0.1913059949874878,0.19834385812282562,0.06797852367162704
3,0.25,True,-0.24607908725738525,0.09179116040468216,0.10196778178215027
3,0.25,False,-0.8084981441497803,0.05811489000916481,0.10196778178215027
3,0.0,True,-1.5182929039001465,-0.02968672476708889,0.1359570473432541
3,0.0,False,-1.6924960613250732,-0.023278091102838516,0.1359570473432541
4,1.0,True,0.08103400468826294,0.34545227885246277,1.8922881039884487e-09
4,1.0,False,0.12620967626571655,0.40611958503723145,1.8922881039884487e-09
4,0.75,True,0.026889503002166748,0.27109992504119873,0.03803208842873573
4,0.75,False,0.03769046068191528,0.2982076406478882,0.03803208842873573
4,0.5,True,-0.09310305118560791,0.16334235668182373,0.07606417685747147
4,0.5,False,-0.263161301612854,0.1495942771434784,0.07606417685747147
4,0.25,True,-0.2789430618286133,0.06596218794584274,0.1140962690114975
4,0.25,False,-0.7763458490371704,0.030194759368896484,0.1140962690114975
4,0.0,True,-1.3768558502197266,-0.04690482094883919,0.15212835371494293
4,0.0,False,-1.5018625259399414,-0.04641030728816986,0.15212835371494293
5,1.0,True,0.08590823411941528,0.37104037404060364,1.691800699532564e-09
5,1.0,False,0.3072947859764099,0.5042113065719604,1.691800699532564e-09
5,0.75,True,0.020174264907836914,0.28894752264022827,0.032688360661268234
5,0.75,False,0.07270509004592896,0.3629864454269409,0.032688360661268234
5,0.5,True,-0.1125020980834961,0.16881729662418365,0.06537672132253647
5,0.5,False,-0.4022533893585205,0.18298596143722534,0.06537672132253647
5,0.25,True,-0.3121209144592285,0.06516220420598984,0.098065085709095
5,0.25,False,-1.1175808906555176,0.04946797713637352,0.098065085709095
5,0.0,True,-1.9061295986175537,-0.04733707755804062,0.13075344264507294
5,0.0,False,-2.0732767581939697,-0.042148467153310776,0.13075344264507294
