tag,split,seed,relations,use_graph,project,shrink_tau,shuffle_graph,global_scale,alpha,scale,s1_pearson,s1_r2,pearson,r2,epochs,wall_s,w_regulatory,w_ppi,w_cofunctional,w_profile
gate,1,0,regulatory+ppi+cofunctional+profile,False,True,1.0,False,True,1000.0,0.6451727747917175,0.49952420592308044,0.2610759735107422,0.49952420592308044,0.2610759735107422,0,82.7,,,,
gate,1,0,regulatory+ppi+cofunctional+profile,True,True,1.0,False,True,1000.0,0.6451727747917175,0.49952420592308044,0.2610759735107422,0.37143781781196594,0.10531151294708252,311,85.6,0.23095017671585083,0.30086496472358704,0.27588069438934326,0.19230420887470245
