comparison,mean_diff,win_rate,wilcoxon_p,n_months
ridge - persistence,0.014280243536559746,0.5693950177935944,0.001492033252250931,281
ridge - additive null,0.06553268952665621,0.8185053380782918,1.0703903421906644e-18,281
