relation,partial_r,pair_coverage
regulatory,0.10994163961930392,0.3442622950819672
physical PPI,0.274994668045853,0.16393442622950818
co-functional,0.23700128347409327,0.1885245901639344
profile sim.,-0.28611899483130265,1.0
